cd_cnpj;nu_ordem;cd_ramo_atividade;de_ramo_atividade;divisão
04500550000120;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
12810402000130;0;4744002;COMERCIO VAREJISTA DE MADEIRA E ARTEFATOS;47
05410317000110;0;7112000;SERVICOS DE ENGENHARIA;71
12223579000130;0;8211300;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;82
96617865000170;0;4729601;TABACARIA;47
08047579000150;0;111302;CULTIVO DE MILHO;11
12690066000130;0;4321500;INSTALACAO E MANUTENCAO ELETRICA;43
94409778000100;0;4729601;TABACARIA;47
21081120000130;0;6912500;CARTORIOS;69
77687663000150;0;3101200;COMERCIO VAREJISTA DE MOVEIS;31
13103110000120;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
84630474000450;0;4623109;COMERCIO ATACADISTA DE ALIMENTOS PARA ANIMAIS;46
37224847000160;0;4649499;COMERCIO ATACADISTA DE OUTRAS MAQUINAS E EQUIPAMENTOS NAO ESPECIFICADOS ANTERIORMENTE, PARTES E PECAS;46
11971190000100;0;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;96
07244034000170;0;6622300;CORRETORES E AGENTES DE SEGUROS, DE PLANOS DE PREVIDENCIA COMPLEMENTAR E DE SAUDE;66
12121605000110;0;119999;CULTIVO DE OUTRAS PLANTAS DE LAVOURA TEMPORARIA NAO ESPECIFICADAS ANTERIORMENTE;11
12708033000170;0;4520003;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
62955505281310;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;94
21614193000140;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
05008116000190;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
07095151000110;0;8512100;EDUCACAO INFANTIL  PREESCOLA;85
15493137000100;0;9529102;CHAVEIROS;95
09253073000160;0;1340599;OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO;13
05266699000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
12537293000120;0;1412602;CONFECCAO, SOB MEDIDA, DE PECAS DO VESTUARIO, EXCETO ROUPAS INTIMAS;14
09437544000190;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;47
00326297000180;0;4711301;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  HIPERMERCADOS;47
14644627000190;0;8211300;SERVICOS COMBINADOS DE ESCRITORIO E APOIO ADMINISTRATIVO;82
13629575000110;0;4399101;ADMINISTRACAO DE OBRAS;43
15581916000150;0;1352900;FABRICACAO DE ARTEFATOS DE TAPECARIA;13
03471229000100;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
06230514000110;0;4722901;COMERCIO VAREJISTA DE CARNES  ACOUGUES;47
14894610000190;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;47
05438357000170;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
13401477000120;0;4751200;CASAS LOTERICAS;47
72833999000160;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
12481765000170;0;4729602;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;47
11771732000100;0;4763602;COMERCIO VAREJISTA DE ARTIGOS ESPORTIVOS;47
10441320000130;0;1622602;FABRICACAO DE ESQUADRIAS DE MADEIRA E DE PECAS DE MADEIRA PARA INSTALACOES INDUSTRIAIS E COMERCIAIS;16
10850466000130;0;3321000;ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE;33
10480447000240;0;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
15697292000130;0;4771704;COMERCIO VAREJISTA DE ANIMAIS VIVOS E DE ARTIGOS E ALIMENTOS PARA ANIMAIS DE ESTIMACAO;47
15217444000150;0;1066000;COMERCIO VAREJISTA DE MEDICAMENTOS VETERINARIOS;10
15220854000150;0;1622699;FABRICACAO DE OUTROS ARTIGOS DE CARPINTARIA PARA CONSTRUCAO;16
15740742000120;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
08216974000380;0;131800;CULTIVO DE LARANJA;13
01995195000110;0;4930201;TRANSPORTE RODOVIARIO DE CARGA, EXCETO PRODUTOS PERIGOSOS E MUDANCAS, MUNICIPAL;49
03391792000160;0;4921301;TRANSPORTE ESCOLAR;49
08457794000390;0;111302;CULTIVO DE MILHO;11
14222846000180;0;4763602;ATIVIDADES DE CONDICIONAMENTO FISICO;47
07669934000160;0;4617600;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE PRODUTOS ALIMENTICIOS, BEBIDAS E FUMO;46
06137179000100;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
01387360000150;0;8112500;CONDOMINIOS PREDIAIS;81
09545298000190;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
40484867000850;0;4711302;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  SUPERMERCADOS;47
48346043000150;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;47
13567044000140;0;5611201;RESTAURANTES E SIMILARES;56
13598884000170;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
04056122000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
04841694000140;0;4511102;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS;45
66508078000120;0;8112500;CONDOMINIOS PREDIAIS;81
11726294000150;0;4744001;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
11959342000150;0;4755503;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;47
34481390000180;0;1351100;FABRICACAO DE ARTEFATOS TEXTEIS PARA USO DOMESTICO;13
12555119000100;0;4712100;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;47
07907566000140;0;7312200;AGENCIAMENTO DE ESPACOS PARA PUBLICIDADE, EXCETO EM VEICULOS DE COMUNICACAO;73
01682355000170;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;47
08455770000130;0;810099;EXTRACAO E BRITAMENTO DE PEDRAS E OUTROS MATERIAIS PARA CONSTRUCAO E BENEFICIAMENTO ASSOCIADO;81
74034307000140;0;4322302;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;43
14672094000150;0;1629302;FABRICACAO DE ARTEFATOS DIVERSOS DE CORTICA, BAMBU, PALHA, VIME E OUTROS MATERIAIS TRANCADOS, EXCETO MOVEIS;16
02521644000150;0;4741500;COMERCIO VAREJISTA DE TINTAS E MATERIAIS PARA PINTURA;47
14133477000150;0;4923001;SERVICO DE TAXI;49
06021074000190;0;4511102;COMERCIO A VAREJO DE AUTOMOVEIS, CAMIONETAS E UTILITARIOS USADOS;45
07784989000110;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
14550570000160;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
14570622000160;0;8291100;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS;82
01052752000240;0;8599601;FORMACAO DE CONDUTORES;85
09353200000100;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE JOALHERIA;47
09102759000150;0;4782201;COMERCIO VAREJISTA DE CALCADOS;47
09310725000150;0;3250706;ATIVIDADE ODONTOLOGICA;32
08374337000170;0;113000;CRIACAO DE BOVINOS PARA CORTE;11
08225677000130;0;4330401;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;43
13865327000410;0;5611201;RESTAURANTES E SIMILARES;56
15296818000170;0;1351100;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;13
08402134000140;0;151201;CRIACAO DE BOVINOS PARA CORTE;15
59121624000100;0;3329501;COMERCIO VAREJISTA DE MOVEIS;33
92112333000120;0;4744002;COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS;47
08661339000140;0;6470101;FUNDOS DE INVESTIMENTO, EXCETO PREVIDENCIARIOS E IMOBILIARIOS;64
14577061000120;0;8130300;ATIVIDADES PAISAGISTICAS;81
14797432000180;0;3511502;ATIVIDADES DE ADMINISTRACAO DE FUNDOS POR CONTRATO OU COMISSAO;35
16700845000120;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
14581505000100;0;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;47
15309170000120;0;1020101;COMERCIO ATACADISTA DE PESCADOS E FRUTOS DO MAR;10
14384803000100;0;4924800;TRANSPORTE ESCOLAR;49
07104105000210;0;8599601;FORMACAO DE CONDUTORES;85
15797920000150;0;1091102;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;10
16294894000100;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
53112561000300;0;4751200;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS E SUPRIMENTOS DE INFORMATICA;47
12220507000130;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
04904391000120;0;4754701;COMERCIO VAREJISTA DE MOVEIS;47
03901079000110;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
13876515000100;0;2063100;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;20
00516281000130;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
14823970000100;0;6511102;PLANOS DE AUXILIOFUNERAL;65
17001237000190;0;4110700;COMPRA E VENDA DE IMOVEIS PROPRIOS;41
14045278000190;0;4772500;ALUGUEL DE MOVEIS, UTENSILIOS E APARELHOS DE USO DOMESTICO E PESSOAL, INSTRUMENTOS MUSICAIS;47
11769325000150;0;8650002;ATIVIDADES DE PROFISSIONAIS DA NUTRICAO;86
13649275000100;0;2330305;ATIVIDADES RELACIONADAS A ESGOTO, EXCETO A GESTAO DE REDES;23
15375030000150;0;4399103;OBRAS DE ALVENARIA;43
14830545000130;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
15351613000140;0;4759801;COMERCIO VAREJISTA DE ARTIGOS DE TAPECARIA, CORTINAS E PERSIANAS;47
15359272000150;0;5811500;EDICAO DE JORNAIS DIARIOS;58
09719436000100;0;1351100;ALUGUEL DE IMOVEIS PROPRIOS;13
13850287000190;0;5320202;SERVICOS DE ENTREGA RAPIDA;53
14023390000120;0;8291100;ATIVIDADES DE COBRANCAS E INFORMACOES CADASTRAIS;82
00849004000300;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;47
15971961000110;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
13658549000110;0;9329899;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;93
14312252000160;0;2539001;SERVICOS DE MANUTENCAO E REPARACAO MECANICA DE VEICULOS AUTOMOTORES;25
37564887000150;0;4212000;CONSTRUCAO DE OBRAS DE ARTE ESPECIAIS;42
10500306000160;0;8650003;ATIVIDADES DE FONOAUDIOLOGIA;86
03583686000260;0;7020400;ADMINISTRACAO DE CAIXAS ESCOLARES;70
03619841000170;0;4330499;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;43
01243305000430;0;4623199;COMERCIO ATACADISTA DE MATERIASPRIMAS AGRICOLAS NAO ESPECIFICADAS ANTERIORMENTE;46
01786092000140;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
03937322000150;0;4723700;COMERCIO VAREJISTA DE BEBIDAS;47
00799074000130;0;6920601;ATIVIDADES DE CONTABILIDADE;69
16849377000150;0;4772500;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
03734601013790;0;4751200;COMERCIO VAREJISTA DE MOVEIS;47
14814432000140;0;4722901;COMERCIO VAREJISTA DE CARNES  ACOUGUES;47
13871224000110;0;4322302;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;43
94064649000110;0;1610201;SERRARIAS COM DESDOBRAMENTO DE MADEIRA;16
08360628000100;0;4120400;CONSTRUCAO DE EDIFICIOS;41
15156438000130;0;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;68
15160571000160;0;7119704;ATIVIDADES TECNICAS RELACIONADAS A ENGENHARIA E ARQUITETURA NAO ESPECIFICADAS ANTERIORMENTE;71
10357393000220;0;4742300;ATIVIDADES DE LIMPEZA NAO ESPECIFICADAS ANTERIORMENTE;47
08925731000150;0;6619399;OUTRAS ATIVIDADES AUXILIARES DOS SERVICOS FINANCEIROS NAO ESPECIFICADAS ANTERIORMENTE;66
16053467000130;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
14737392000180;0;4772500;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;47
04569277000190;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
07921293000270;0;4755502;COMERCIO VAREJISTA DE ARTIGOS DE ARMARINHO;47
10944008000160;0;8211300;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;82
05582594000100;0;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;68
01051495000140;0;4619200;REPRESENTANTES COMERCIAIS E AGENTES DO COMERCIO DE MERCADORIAS EM GERAL NAO ESPECIALIZADO;46
57269763000150;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
14452737000150;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
13335552000100;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
13878559000160;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
13941989000180;0;4321500;INSTALACAO E MANUTENCAO ELETRICA;43
15182288000130;0;4772500;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;47
15553446000110;0;9602502;ATIVIDADES DE ESTETICA E OUTROS SERVICOS DE CUIDADOS COM A BELEZA;96
12164098000100;0;4755503;COMERCIO VAREJISTA DE ARTIGOS DE CAMA, MESA E BANHO;47
07081651000100;0;5510803;BARES E OUTROS ESTABELECIMENTOS ESPECIALIZADOS EM SERVIR BEBIDAS;55
17283441000140;0;6462000;HOLDINGS DE INSTITUICOES NAOFINANCEIRAS;64
07806565000100;0;8112500;CONDOMINIOS PREDIAIS;81
11050679000140;0;9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
13169734000140;0;4772500;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;47
15190246000140;0;4330404;SERVICOS DE PINTURA DE EDIFICIOS EM GERAL;43
16480744000190;0;4321500;INSTALACAO E MANUTENCAO ELETRICA;43
14465596000100;0;4754702;COMERCIO VAREJISTA DE ARTIGOS DE COLCHOARIA;47
09331590000100;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
11306905000100;0;4520001;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
15676707000190;0;4330499;OUTRAS OBRAS DE ACABAMENTO DA CONSTRUCAO;43
02300267000120;0;3314711;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;33
81620106000190;0;1412601;CONFECCAO DE PECAS DE VESTUARIO, EXCETO ROUPAS INTIMAS E AS CONFECCIONADAS SOB MEDIDA;14
68035252000190;0;4671100;COMERCIO ATACADISTA DE MADEIRA E PRODUTOS DERIVADOS;46
14753183000120;0;121101;CULTIVO DE COCODABAIA;12
11185206000150;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;47
95035473000130;0;4520001;SERVICOS DE ALINHAMENTO E BALANCEAMENTO DE VEICULOS AUTOMOTORES;45
66351065000190;0;1741902;EDICAO DE CADASTROS, LISTAS E DE OUTROS PRODUTOS GRAFICOS;17
48792485000120;0;1813099;IMPRESSAO DE MATERIAL PARA OUTROS USOS;18
04617529000100;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
07037992000170;0;2539001;SERVICOS DE USINAGEM, TORNEARIA E SOLDA;25
12783179000180;0;8599603;REPARACAO E MANUTENCAO DE COMPUTADORES E DE EQUIPAMENTOS PERIFERICOS;85
04355056000110;0;1521100;COMERCIO ATACADISTA DE BOLSAS, MALAS E ARTIGOS DE VIAGEM;15
55492623000110;0;6399200;AGENCIAMENTO DE PROFISSIONAIS PARA ATIVIDADES ESPORTIVAS, CULTURAIS E ARTISTICAS;63
11117576000150;0;1091102;FABRICACAO DE PRODUTOS DE PADARIA E CONFEITARIA COM PREDOMINANCIA DE PRODUCAO PROPRIA;10
11694319000180;0;4752100;COMERCIO VAREJISTA ESPECIALIZADO DE EQUIPAMENTOS DE TELEFONIA E COMUNICACAO;47
09568108000150;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
00245285000120;0;6204000;CONSULTORIA EM TECNOLOGIA DA INFORMACAO;62
00739428000150;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;94
05953866000130;0;5611201;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
16962677000140;0;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;68
12563448000100;0;8211300;PREPARACAO DE DOCUMENTOS E SERVICOS ESPECIALIZADOS DE APOIO ADMINISTRATIVO NAO ESPECIFICADOS ANTERIORMENTE;82
16932888000130;0;8630503;ATIVIDADE MEDICA AMBULATORIAL RESTRITA A CONSULTAS;86
97526837000100;0;9312300;CLUBES SOCIAIS, ESPORTIVOS E SIMILARES;93
02484960000280;0;4744005;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO EM GERAL;47
06084773000180;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
16618671000150;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
03477630000140;0;4789099;COMERCIO VAREJISTA DE OUTROS PRODUTOS NAO ESPECIFICADOS ANTERIORMENTE;47
02937277000170;0;4744005;COMERCIO VAREJISTA DE MATERIAIS DE CONSTRUCAO NAO ESPECIFICADOS ANTERIORMENTE;47
06042798000110;0;810006;ATIVIDADES DE APOIO A EXTRACAO DE MINERAIS NAOMETALICOS;81
06658925000100;0;9492800;ATIVIDADES DE ORGANIZACOES POLITICAS;94
02718174000110;0;4662100;COMERCIO ATACADISTA DE MAQUINAS E EQUIPAMENTOS PARA USO INDUSTRIAL, PARTES E PECAS;46
07028901000130;0;4923002;OPERADORES TURISTICOS;49
11497569000120;0;8599605;CURSOS PREPARATORIOS PARA CONCURSOS;85
54796362000160;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
08679162000100;0;4924800;TRANSPORTE ESCOLAR;49
64807035000110;0;4771701;COMERCIO VAREJISTA DE PRODUTOS FARMACEUTICOS, SEM MANIPULACAO DE FORMULAS;47
15317884000180;0;1340599;OUTROS SERVICOS DE ACABAMENTO EM FIOS, TECIDOS, ARTEFATOS TEXTEIS E PECAS DO VESTUARIO;13
16941941000160;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
05277788000100;0;8130300;ATIVIDADES PAISAGISTICAS;81
54093471000110;0;5611203;LANCHONETES, CASAS DE CHA, DE SUCOS E SIMILARES;56
16774603000180;0;1094500;COMERCIO VAREJISTA DE BEBIDAS;10
04251424000180;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
87120762000100;0;4729699;COMERCIO VAREJISTA DE FERRAGENS E FERRAMENTAS;47
04724398000160;0;4642701;COMERCIO ATACADISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS, EXCETO PROFISSIONAIS E DE SEGURANCA;46
12842235000100;0;4520003;COMERCIO VAREJISTA DE MATERIAL ELETRICO;45
06932990000930;0;9491000;ATIVIDADES DE ORGANIZACOES RELIGIOSAS OU FILOSOFICAS;94
08293513000140;0;8591100;ENSINO DE ESPORTES;85
01475296000160;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
12077443000160;0;6821801;CORRETAGEM NA COMPRA E VENDA E AVALIACAO DE IMOVEIS;68
13388322000100;0;4789001;COMERCIO VAREJISTA DE SUVENIRES, BIJUTERIAS E ARTESANATOS;47
10806211000170;0;4530703;COMERCIO A VAREJO DE PECAS E ACESSORIOS NOVOS PARA VEICULOS AUTOMOTORES;45
14239440000100;0;4110700;ALUGUEL DE IMOVEIS PROPRIOS;41
19791896009310;0;4682600;COMERCIO ATACADISTA DE GAS LIQUEFEITO DE PETROLEO GLP;46
12121224000130;0;9430800;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
08508919000100;0;4781400;COMERCIO VAREJISTA DE ARTIGOS DO VESTUARIO E ACESSORIOS;47
45064714000100;0;4774100;COMERCIO VAREJISTA DE ARTIGOS DE OPTICA;47
05796462000180;0;4712100;COMERCIO VAREJISTA DE MERCADORIAS EM GERAL, COM PREDOMINANCIA DE PRODUTOS ALIMENTICIOS  MINIMERCADOS, MERCEARIAS E ARMAZENS;47
04522679000130;0;4771701;COMERCIO VAREJISTA DE COSMETICOS, PRODUTOS DE PERFUMARIA E DE HIGIENE PESSOAL;47
12045619000100;0;9499500;ATIVIDADES ASSOCIATIVAS NAO ESPECIFICADAS ANTERIORMENTE;94
